"method","lower","median","upper","width"
"PN",-2.04088278738785,-1.7376353259947,-1.35872817098651,0.682154616401337
"NAS",-1.81028654003334,-1.5571022433809,-1.23455080313685,0.575735736896491
"mle",-1.72412568293231,-1.42225726587212,-1.10251137753989,0.621614305392419
"MLEbins",-1.53168311030832,-1.3235323566353,-1.09098702569839,0.440696084609928
"MLBExponent",-1.27207661342373,-0.743524329474821,-0.364971971001343,0.90710464242239
"Perkins",-1.04088278738785,-0.737635325994695,-0.358728170986512,0.682154616401336
"AS",-0.81028654003334,-0.557102243380901,-0.234550803136848,0.575735736896491
